address_type,family_size,parent_status,mother_education,father_education,mother_job,father_job,travel_time,study_time,class_failures,school_support,family_support,internet_access,health,absences,final_grade
Urban,Greater than 3,Apart,higher education,higher education,at_home,teacher,15 to 30 min.,2 to 5 hours,0,yes,no,no,3,6,6
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,0,no,yes,yes,3,4,6
Urban,Less than or equal to 3,Living together,primary education (4th grade),primary education (4th grade),at_home,other,<15 min.,2 to 5 hours,3,yes,no,yes,3,10,10
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,<15 min.,5 to 10 hours,0,no,yes,yes,5,2,15
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,yes,no,5,4,10
Urban,Less than or equal to 3,Living together,higher education,secondary education,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,10,15
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,2 to 5 hours,0,no,no,yes,3,0,11
Urban,Greater than 3,Apart,higher education,higher education,other,teacher,15 to 30 min.,2 to 5 hours,0,yes,yes,no,1,6,6
Urban,Less than or equal to 3,Apart,secondary education,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,19
Urban,Greater than 3,Living together,secondary education,higher education,other,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,15
Urban,Greater than 3,Living together,higher education,higher education,teacher,health,<15 min.,2 to 5 hours,0,no,yes,yes,2,0,9
Urban,Greater than 3,Living together,5th to 9th grade,primary education (4th grade),services,other,30 min. to 1 hour,5 to 10 hours,0,no,yes,yes,4,4,12
Urban,Less than or equal to 3,Living together,higher education,higher education,health,services,<15 min.,<2 hours,0,no,yes,yes,5,2,14
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,3,2,11
Urban,Greater than 3,Apart,5th to 9th grade,5th to 9th grade,other,other,<15 min.,5 to 10 hours,0,no,yes,yes,3,0,16
Urban,Greater than 3,Living together,higher education,higher education,health,other,<15 min.,<2 hours,0,no,yes,yes,2,4,14
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,5 to 10 hours,0,no,yes,yes,2,6,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,other,30 min. to 1 hour,2 to 5 hours,0,yes,yes,no,4,4,10
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,services,services,<15 min.,<2 hours,3,no,yes,yes,5,16,5
Urban,Less than or equal to 3,Living together,higher education,secondary education,health,other,<15 min.,<2 hours,0,no,no,yes,5,4,10
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,no,yes,1,0,15
Urban,Greater than 3,Living together,higher education,higher education,health,health,<15 min.,<2 hours,0,no,yes,yes,5,0,15
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,2 to 5 hours,0,no,no,yes,5,2,16
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,0,12
Rural,Greater than 3,Living together,5th to 9th grade,higher education,services,health,<15 min.,5 to 10 hours,0,yes,yes,yes,5,2,8
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,<2 hours,2,no,yes,yes,5,14,8
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,5,2,11
Urban,Greater than 3,Living together,higher education,5th to 9th grade,health,services,<15 min.,<2 hours,0,no,no,yes,1,4,15
Urban,Less than or equal to 3,Apart,secondary education,higher education,services,other,<15 min.,2 to 5 hours,0,yes,yes,yes,5,4,11
Urban,Greater than 3,Living together,higher education,higher education,teacher,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,5,16,11
Urban,Greater than 3,Living together,higher education,higher education,health,services,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,12
Urban,Greater than 3,Living together,higher education,higher education,services,services,15 to 30 min.,2 to 5 hours,0,no,yes,yes,5,0,17
Rural,Greater than 3,Living together,higher education,secondary education,teacher,at_home,<15 min.,2 to 5 hours,0,no,yes,yes,5,0,16
Urban,Less than or equal to 3,Living together,secondary education,secondary education,other,other,<15 min.,2 to 5 hours,0,no,no,yes,2,0,12
Urban,Greater than 3,Living together,secondary education,5th to 9th grade,other,other,<15 min.,<2 hours,0,no,yes,yes,5,0,15
Urban,Greater than 3,Living together,5th to 9th grade,secondary education,other,other,15 to 30 min.,<2 hours,0,no,yes,no,5,0,6
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,<15 min.,5 to 10 hours,0,no,yes,yes,4,2,18
Rural,Greater than 3,Apart,higher education,higher education,other,teacher,15 to 30 min.,5 to 10 hours,0,no,yes,yes,5,7,15
Rural,Greater than 3,Living together,secondary education,higher education,services,health,<15 min.,5 to 10 hours,0,yes,yes,yes,5,2,11
Rural,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,at_home,other,<15 min.,<2 hours,0,yes,yes,no,2,8,13
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,other,15 to 30 min.,2 to 5 hours,1,no,yes,yes,3,25,11
Urban,Less than or equal to 3,Living together,higher education,higher education,teacher,other,<15 min.,<2 hours,0,no,yes,yes,5,8,12
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,2 to 5 hours,0,no,yes,yes,5,2,18
Urban,Greater than 3,Living together,5th to 9th grade,5th to 9th grade,services,services,<15 min.,<2 hours,0,yes,yes,yes,1,0,11
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,other,at_home,15 to 30 min.,2 to 5 hours,1,yes,no,yes,5,14,9
Urban,Less than or equal to 3,Apart,higher education,secondary education,other,other,<15 min.,2 to 5 hours,0,yes,yes,yes,5,8,6
Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,0,no,yes,yes,3,12,11
Urban,Greater than 3,Living together,higher education,secondary education,health,services,<15 min.,>10 hours,0,no,no,yes,2,4,20
Urban,Greater than 3,Living together,higher education,5th to 9th grade,teacher,other,<15 min.,2 to 5 hours,0,no,yes,no,5,2,14
Urban,Greater than 3,Living together,higher education,higher education,services,teacher,<15 min.,2 to 5 hours,1,yes,yes,yes,3,2,7
Urban,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,services,services,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,4,2,13
Urban,Less than or equal to 3,Living together,higher education,5th to 9th grade,health,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,2,13
Urban,Less than or equal to 3,Apart,higher education,5th to 9th grade,health,health,15 to 30 min.,<2 hours,1,no,no,no,5,6,10
Urban,Greater than 3,Living together,higher education,higher education,services,services,<15 min.,<2 hours,0,yes,yes,yes,5,0,11
Urban,Less than or equal to 3,Apart,secondary education,secondary education,other,other,<15 min.,<2 hours,0,no,no,yes,1,6,13
Urban,Greater than 3,Apart,5th to 9th grade,primary education (4th grade),other,other,<15 min.,2 to 5 hours,0,no,no,yes,2,8,10
Urban,Greater than 3,Apart,higher education,secondary education,services,services,<15 min.,2 to 5 hours,0,no,yes,yes,1,0,15
Urban,Greater than 3,Living together,higher education,higher education,teacher,health,<15 min.,2 to 5 hours,0,no,yes,no,5,4,15
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,at_home,<15 min.,2 to 5 hours,0,yes,yes,yes,5,2,9
Urban,Greater than 3,Living together,higher education,5th to 9th grade,services,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,2,16
Rural,Greater than 3,Living together,higher education,higher education,health,teacher,<15 min.,2 to 5 hours,0,no,yes,no,4,6,11
Urban,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),services,services,>1 hour,<2 hours,0,yes,yes,yes,5,6,11
Urban,Less than or equal to 3,Living together,primary education (4th grade),5th to 9th grade,other,services,<15 min.,2 to 5 hours,0,yes,no,yes,1,4,9
Urban,Greater than 3,Living together,higher education,secondary education,teacher,health,<15 min.,5 to 10 hours,0,yes,yes,yes,4,2,9
Urban,Less than or equal to 3,Living together,higher education,secondary education,services,services,<15 min.,2 to 5 hours,0,yes,no,yes,2,0,10
Urban,Less than or equal to 3,Living together,higher education,secondary education,teacher,services,30 min. to 1 hour,2 to 5 hours,0,no,yes,yes,1,2,15
Urban,Greater than 3,Apart,higher education,higher education,other,services,<15 min.,>10 hours,0,no,yes,yes,3,4,12
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),services,other,<15 min.,>10 hours,0,yes,yes,yes,5,4,6
Rural,Less than or equal to 3,Living together,5th to 9th grade,5th to 9th grade,health,services,15 to 30 min.,2 to 5 hours,0,yes,yes,yes,4,2,8
Rural,Less than or equal to 3,Living together,secondary education,primary education (4th grade),other,other,15 to 30 min.,>10 hours,0,no,yes,yes,3,12,16
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,15 to 30 min.,>10 hours,0,no,yes,yes,5,0,15
Urban,Greater than 3,Living together,higher education,5th to 9th grade,other,other,<15 min.,>10 hours,0,no,no,yes,3,0,10
Rural,Greater than 3,Living together,primary education (4th grade),primary education (4th grade),other,other,<15 min.,2 to 5 hours,2,yes,yes,yes,5,2,5
Urban,Greater than 3,Living together,secondary education,primary education (4th grade),other,other,<15 min.,<2 hours,0,no,no,no,5,2,14
Urban,Greater than 3,Living together,secondary education,secondary education,other,services,<15 min.,2 to 5 hours,0,yes,yes,yes,5,54,11
Urban,Greater than 3,Living together,higher education,secondary education,teacher,other,<15 min.,2 to 5 hours,0,no,yes,yes,5,6,10
